Original Binary String Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks,6-RLL with encodings and Knuth
523,81.0,75.0,39.0,83.0
524,80.0,74.0,38.0,82.0
525,81.0,75.0,39.0,83.0
526,80.0,74.0,38.0,82.0
527,81.0,75.0,39.0,83.0
528,80.0,74.0,38.0,82.0
529,81.0,75.0,39.0,83.0
530,80.0,74.0,38.0,82.0
531,81.0,75.0,39.0,83.0
532,80.0,74.0,38.0,82.0
533,81.0,75.0,39.0,85.0
534,80.0,74.0,38.0,84.0
535,81.0,75.0,39.0,85.0
536,80.0,74.0,38.0,84.0
537,81.0,75.0,39.0,85.0
538,80.0,74.0,38.0,84.0
539,81.0,75.0,39.0,85.0
540,80.0,74.0,38.0,84.0
541,81.0,75.0,39.0,85.0
542,80.0,74.0,38.0,84.0
543,81.0,75.0,39.0,87.0
544,80.0,74.0,38.0,86.0
545,85.0,79.0,41.0,87.0
546,84.0,78.0,40.0,86.0
547,85.0,79.0,41.0,87.0
548,84.0,78.0,40.0,86.0
549,85.0,79.0,41.0,87.0
550,84.0,78.0,40.0,86.0
551,85.0,79.0,41.0,87.0
552,84.0,78.0,40.0,86.0
553,85.0,79.0,41.0,89.0
554,84.0,78.0,40.0,88.0
555,85.0,79.0,41.0,87.0
556,84.0,78.0,40.0,86.0
557,85.0,79.0,41.0,89.0
558,84.0,78.0,40.0,88.0
559,85.0,79.0,41.0,89.0
560,84.0,78.0,40.0,88.0
561,85.0,79.0,41.0,89.0
562,84.0,78.0,40.0,88.0
563,85.0,79.0,41.0,89.0
564,84.0,78.0,40.0,88.0
565,85.0,79.0,41.0,89.0
566,84.0,78.0,40.0,88.0
567,85.0,79.0,41.0,89.0
568,84.0,78.0,40.0,88.0
569,85.0,79.0,41.0,89.0
570,84.0,78.0,40.0,88.0
571,85.0,79.0,41.0,89.0
572,84.0,78.0,40.0,88.0
573,85.0,79.0,41.0,89.0
574,84.0,78.0,40.0,88.0
575,85.0,79.0,41.0,91.0
576,84.0,78.0,40.0,90.0
577,89.0,83.0,43.0,91.0
578,88.0,82.0,42.0,90.0
579,89.0,83.0,43.0,91.0
580,88.0,82.0,42.0,90.0
581,89.0,83.0,43.0,91.0
582,88.0,82.0,42.0,90.0
583,89.0,83.0,43.0,91.0
584,88.0,82.0,42.0,90.0
585,89.0,83.0,43.0,93.0
586,88.0,82.0,42.0,92.0
587,89.0,83.0,43.0,93.0
588,88.0,82.0,42.0,92.0
589,89.0,83.0,43.0,93.0
590,88.0,82.0,42.0,92.0
591,89.0,83.0,43.0,93.0
592,88.0,82.0,42.0,92.0
593,89.0,83.0,43.0,93.0
594,88.0,82.0,42.0,92.0
595,89.0,83.0,43.0,95.0
596,88.0,82.0,42.0,94.0
597,89.0,83.0,43.0,93.0
598,88.0,82.0,42.0,92.0
599,89.0,83.0,43.0,95.0
600,88.0,82.0,42.0,94.0
601,89.0,83.0,43.0,95.0
602,88.0,82.0,42.0,94.0
603,89.0,83.0,43.0,95.0
604,88.0,82.0,42.0,94.0
605,89.0,83.0,43.0,95.0
606,88.0,82.0,42.0,94.0
607,89.0,83.0,43.0,95.0
608,88.0,82.0,42.0,94.0
609,93.0,87.0,45.0,95.0
610,92.0,86.0,44.0,94.0
611,93.0,87.0,45.0,95.0
612,92.0,86.0,44.0,94.0
613,93.0,87.0,45.0,95.0
614,92.0,86.0,44.0,94.0
615,93.0,87.0,45.0,95.0
616,92.0,86.0,44.0,94.0
